county,county_fips,state,county_population,health_service_area_number,health_service_area,health_service_area_population,covid_inpatient_bed_utilization,covid_hospital_admissions_per_100k,covid_cases_per_100k,covid-19_community_level,date_updated
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.5,10.3,160.37,Medium,2023-02-02
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,21.4,113.84,High,2023-02-02
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.5,10.3,130.43,Medium,2023-02-02
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.8,11.2,132.97,Medium,2023-02-02
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,10.1,34.8,290.92,High,2023-02-02
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,11.4,152.32,Medium,2023-02-02
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.6,9.0,160.03,Low,2023-02-02
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,11.4,146.29,Medium,2023-02-02
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,5.5,10.3,176.95,Medium,2023-02-02
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.8,11.2,98.94,Medium,2023-02-02
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,11.4,143.44,Medium,2023-02-02
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.4,19.4,191.22,Medium,2023-02-02
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,9.1,95.68,Low,2023-02-02
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.2,15.2,154.33,Medium,2023-02-02
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,21.4,155.49,High,2023-02-02
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,9.1,118.75,Low,2023-02-02
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,21.4,158.75,High,2023-02-02
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,21.4,146.50,High,2023-02-02
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,7.2,15.2,154.15,Medium,2023-02-02
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,5.3,11.4,125.56,Medium,2023-02-02
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,22.8,150.19,High,2023-02-09
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.8,7.5,161.02,Low,2023-02-09
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.1,21.0,165.62,High,2023-02-09
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.8,7.5,140.25,Low,2023-02-09
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.2,10.9,123.82,Medium,2023-02-09
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.1,21.0,174.25,High,2023-02-09
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.1,21.0,188.95,High,2023-02-09
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,12.2,148.88,Medium,2023-02-09
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,9.8,115.83,Low,2023-02-09
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,8.5,27.4,253.47,High,2023-02-09
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,9.8,144.31,Low,2023-02-09
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.8,11.4,169.83,Medium,2023-02-09
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,9.8,121.93,Low,2023-02-09
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.8,7.5,182.33,Low,2023-02-09
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.2,10.9,113.18,Medium,2023-02-09
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.7,9.8,131.57,Low,2023-02-09
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,5.0,22.8,158.63,High,2023-02-09
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.3,12.2,85.23,Medium,2023-02-09
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,12.2,140.76,Medium,2023-02-09
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.1,21.0,150.68,High,2023-02-09
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.3,12.2,80.75,Medium,2023-02-09
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,18.7,134.05,Medium,2023-02-16
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,18.7,134.85,Medium,2023-02-16
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,14.5,110.02,Medium,2023-02-16
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,8.6,104.88,Low,2023-02-16
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.6,11.2,180.36,Medium,2023-02-16
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,10.0,83.62,Medium,2023-02-16
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.5,14.5,100.03,Medium,2023-02-16
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,18.7,147.47,Medium,2023-02-16
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,4.5,10.0,75.05,Medium,2023-02-16
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.6,11.2,123.64,Medium,2023-02-16
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.4,6.7,121.11,Low,2023-02-16
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,6.0,18.7,108.70,Medium,2023-02-16
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.4,6.7,83.14,Low,2023-02-16
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.4,10.3,115.28,Medium,2023-02-16
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.2,17.4,185.92,Medium,2023-02-16
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,8.6,119.28,Low,2023-02-16
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.7,9.8,124.38,Low,2023-02-16
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,8.6,106.78,Low,2023-02-16
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,4.4,6.7,146.86,Low,2023-02-16
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.4,10.3,93.25,Medium,2023-02-16
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.6,8.6,115.94,Low,2023-02-16
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.4,19.7,133.64,Medium,2023-02-23
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.6,7.8,68.34,Low,2023-02-23
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.7,11.0,85.81,Medium,2023-02-23
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.8,19.4,105.79,Medium,2023-02-23
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.6,7.8,65.55,Low,2023-02-23
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.8,19.4,114.97,Medium,2023-02-23
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.8,19.4,109.98,Medium,2023-02-23
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.7,11.0,100.13,Medium,2023-02-23
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.0,8.1,78.44,Low,2023-02-23
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.4,19.7,120.98,Medium,2023-02-23
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.5,5.5,92.58,Low,2023-02-23
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,5.8,19.4,96.70,Medium,2023-02-23
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.5,5.5,78.97,Low,2023-02-23
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.1,11.5,70.35,Medium,2023-02-23
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,7.6,17.4,160.51,Medium,2023-02-23
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.0,8.1,80.73,Low,2023-02-23
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,5.5,9.8,96.62,Low,2023-02-23
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.0,8.1,84.36,Low,2023-02-23
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.5,5.5,105.42,Low,2023-02-23
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,3.1,11.5,66.20,Medium,2023-02-23
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,4.0,8.1,85.02,Low,2023-02-23
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.3,18.8,125.54,Medium,2023-03-02
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.2,5.1,72.95,Low,2023-03-02
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,12.6,93.61,Medium,2023-03-02
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.2,5.1,103.81,Low,2023-03-02
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.6,10.0,64.25,Medium,2023-03-02
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,4.3,18.8,90.18,Medium,2023-03-02
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,8.3,81.21,Low,2023-03-02
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.1,7.3,80.16,Low,2023-03-02
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,12.6,73.74,Medium,2023-03-02
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,3.3,8.3,75.05,Low,2023-03-02
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,6.6,11.4,90.28,Medium,2023-03-02
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.2,60.70,Low,2023-03-02
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,4.6,5.4,60.15,Low,2023-03-02
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.2,80.84,Low,2023-03-02
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,3.2,5.1,65.96,Low,2023-03-02
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.6,10.0,61.93,Medium,2023-03-02
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.2,66.15,Low,2023-03-02
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,12.6,82.41,Medium,2023-03-02
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.6,12.6,82.53,Medium,2023-03-02
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.1,7.3,74.94,Low,2023-03-02
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.5,6.2,64.75,Low,2023-03-02
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.7,18.1,66.21,Medium,2023-03-09
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,5.2,45.31,Low,2023-03-09
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.5,4.6,59.88,Low,2023-03-09
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,5.2,58.78,Low,2023-03-09
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.9,3.7,56.00,Low,2023-03-09
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.0,7.3,32.74,Low,2023-03-09
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,5.2,47.63,Low,2023-03-09
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.7,14.9,67.36,Medium,2023-03-09
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.1,6.1,46.63,Low,2023-03-09
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,3.3,61.73,Low,2023-03-09
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.1,13.8,97.78,Medium,2023-03-09
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,2.1,6.1,45.60,Low,2023-03-09
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.7,14.9,79.27,Medium,2023-03-09
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.9,3.7,60.93,Low,2023-03-09
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.1,13.8,68.24,Medium,2023-03-09
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.9,3.7,47.15,Low,2023-03-09
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,2.0,7.3,54.90,Low,2023-03-09
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.1,13.8,68.93,Medium,2023-03-09
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,4.1,13.8,68.91,Medium,2023-03-09
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,5.5,3.3,58.96,Low,2023-03-09
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.2,5.2,51.68,Low,2023-03-09
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,5.9,6.7,56.18,Low,2023-03-16
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,4.7,48.19,Low,2023-03-16
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,3.9,6.5,52.25,Low,2023-03-16
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,4.7,51.51,Low,2023-03-16
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.8,3.4,44.04,Low,2023-03-16
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.9,6.2,19.22,Low,2023-03-16
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,4.7,49.61,Low,2023-03-16
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.9,11.9,58.38,Medium,2023-03-16
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.9,11.9,60.02,Medium,2023-03-16
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.4,3.5,60.61,Low,2023-03-16
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,3.1,4.7,46.51,Low,2023-03-16
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.9,17.7,68.27,Medium,2023-03-16
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.8,3.4,53.10,Low,2023-03-16
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.9,11.9,58.63,Medium,2023-03-16
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.8,3.4,56.66,Low,2023-03-16
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.9,6.2,46.76,Low,2023-03-16
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.9,17.7,46.72,Medium,2023-03-16
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,3.5,38.59,Low,2023-03-16
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,6.4,3.5,50.10,Low,2023-03-16
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.9,11.9,64.12,Medium,2023-03-16
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,3.5,65.55,Low,2023-03-16
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.9,10.1,78.13,Medium,2023-03-23
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.0,3.3,48.59,Low,2023-03-23
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,8.6,41.83,Low,2023-03-23
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.0,3.3,31.98,Low,2023-03-23
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.7,4.7,37.21,Low,2023-03-23
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,3.1,6.7,43.47,Low,2023-03-23
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.1,4.0,35.42,Low,2023-03-23
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,2.4,3.8,83.28,Low,2023-03-23
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.1,4.0,40.24,Low,2023-03-23
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,2.0,3.3,42.44,Low,2023-03-23
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.7,4.7,26.34,Low,2023-03-23
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.1,4.0,33.61,Low,2023-03-23
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.9,10.1,58.67,Medium,2023-03-23
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.9,3.5,44.22,Low,2023-03-23
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,3.3,6.5,47.83,Low,2023-03-23
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,8.6,48.09,Low,2023-03-23
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,0.9,3.5,33.25,Low,2023-03-23
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,8.6,44.46,Low,2023-03-23
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,3.3,8.6,40.87,Low,2023-03-23
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,3.3,6.5,51.06,Low,2023-03-23
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,2.1,4.0,41.95,Low,2023-03-23
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.3,7.9,62.58,Low,2023-03-30
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.6,2.5,40.76,Low,2023-03-30
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.9,8.2,52.46,Low,2023-03-30
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.6,2.5,26.62,Low,2023-03-30
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.5,5.9,32.53,Low,2023-03-30
Cumberland County,34011,New Jersey,149527,127,"Cumberland, NJ",149527,2.7,6.7,24.74,Low,2023-03-30
Essex County,34013,New Jersey,798975,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.8,3.5,34.92,Low,2023-03-30
Mercer County,34021,New Jersey,367430,126,"Mercer, NJ",367430,1.7,2.4,135.81,Low,2023-03-30
Middlesex County,34023,New Jersey,825062,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.8,3.5,61.33,Low,2023-03-30
Passaic County,34031,New Jersey,501826,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.6,2.5,38.66,Low,2023-03-30
Sussex County,34037,New Jersey,140488,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,1.5,5.9,27.76,Low,2023-03-30
Union County,34039,New Jersey,556341,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.8,3.5,35.41,Low,2023-03-30
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,2.3,7.9,31.51,Low,2023-03-30
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,2.2,34.57,Low,2023-03-30
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,3.2,6.3,37.17,Low,2023-03-30
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.9,8.2,38.47,Low,2023-03-30
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.2,2.2,37.05,Low,2023-03-30
Burlington County,34005,New Jersey,445349,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.9,8.2,47.38,Low,2023-03-30
Camden County,34007,New Jersey,506471,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.9,8.2,41.86,Low,2023-03-30
Ocean County,34029,New Jersey,607186,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,3.2,6.3,46.77,Low,2023-03-30
Somerset County,34035,New Jersey,328934,66,"Essex (Newark), NJ - Middlesex, NJ",2509312,1.8,3.5,40.43,Low,2023-03-30
Atlantic County,34001,New Jersey,263670,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.9,4.2,33.75,Low,2023-04-06
Bergen County,34003,New Jersey,932202,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.4,2.5,28.53,Low,2023-04-06
Gloucester County,34015,New Jersey,291636,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.6,7.0,30.52,Low,2023-04-06
Hudson County,34017,New Jersey,672391,36,"Bergen, NJ - Hudson (Jersey City), NJ",2432208,1.4,2.5,31.38,Low,2023-04-06
Morris County,34027,New Jersey,491845,87,"Morris (Parsippany-Troy Hills Township), NJ - Sussex, NJ",632333,0.7,3.5,27.85,Low,2023-04-06
Cape May County,34009,New Jersey,92039,64,"Atlantic (Atlantic City), NJ - Cape May, NJ",355709,0.9,4.2,41.29,Low,2023-04-06
Hunterdon County,34019,New Jersey,124371,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.0,4.4,27.34,Low,2023-04-06
Monmouth County,34025,New Jersey,618795,108,"Monmouth, NJ - Ocean (Brick Township), NJ",1225981,2.3,4.1,40.08,Low,2023-04-06
Salem County,34033,New Jersey,62385,23,"Camden (Camden), NJ - Burlington, NJ",1305841,2.6,7.0,27.25,Low,2023-04-06
Warren County,34041,New Jersey,105267,93,"Hunterdon, NJ - Warren (Phillipsburg), NJ",229638,1.0,4.4,27.55,Low,2023-04-06
